hour,speed,sensor_type,vehicle_type,registered,passenger_count,rash_driving_flag,vehicle_count
8,55.27,Infrared,Car,Registered,4,0,56
5,50.85,Infrared,Car,Registered,5,0,32
15,43.73,Camera,Motorbike,Registered,1,0,59
2,48.56,Loop,Motorbike,Unregistered,3,0,27
19,49.1,Infrared,Car,Registered,3,0,58
3,34.14,Camera,Car,Registered,2,0,25
18,37.01,Camera,Car,Registered,4,0,60
2,52.92,Infrared,Motorbike,Registered,1,0,36
18,48.11,Infrared,Car,Registered,2,0,54
19,75.65,Infrared,Truck,Registered,1,1,57
6,69.29,Loop,Car,Registered,2,0,57
19,59.0,Loop,Motorbike,Registered,3,0,57
8,33.57,Camera,Car,Registered,5,0,68
0,36.53,Infrared,Car,Registered,4,0,18
7,29.97,Loop,Motorbike,Registered,3,0,49
6,49.2,Infrared,Motorbike,Registered,3,0,29
17,5.0,Camera,Truck,Unregistered,3,0,40
7,38.12,Loop,Car,Registered,3,0,49
0,40.4,Loop,Car,Registered,1,0,35
10,22.14,Loop,Motorbike,Registered,1,0,71
17,56.97,Camera,Motorbike,Registered,1,0,84
22,27.91,Infrared,Car,Registered,2,0,37
9,49.02,Loop,Car,Registered,1,0,67
2,86.76,Camera,Car,Registered,1,1,46
6,20.83,Infrared,Bus,Registered,2,0,24
15,42.77,Camera,Car,Registered,5,0,70
15,38.89,Infrared,Car,Registered,1,0,71
19,35.97,Camera,Car,Registered,5,0,58
16,56.4,Infrared,Car,Registered,4,0,54
1,61.59,Loop,Car,Registered,5,0,40
0,56.57,Infrared,Car,Registered,3,0,34
15,34.15,Camera,Car,Registered,3,0,71
11,81.51,Camera,Bus,Registered,5,1,81
4,18.45,Infrared,Car,Registered,3,0,30
4,29.51,Loop,Car,Unregistered,4,0,38
22,47.55,Loop,Bus,Registered,2,0,33
8,46.34,Infrared,Motorbike,Registered,3,0,55
8,52.32,Infrared,Car,Registered,3,0,52
2,68.7,Camera,Car,Registered,5,0,30
18,43.2,Loop,Car,Registered,4,0,52
15,46.71,Infrared,Motorbike,Registered,2,0,53
15,36.08,Loop,Truck,Registered,5,0,73
2,53.82,Infrared,Motorbike,Registered,3,0,32
19,40.22,Infrared,Motorbike,Registered,2,0,43
23,40.21,Loop,Motorbike,Registered,2,0,43
21,53.15,Infrared,Car,Registered,4,0,39
23,60.52,Infrared,Car,Registered,2,0,23
0,11.88,Camera,Motorbike,Unregistered,1,0,24
23,50.41,Infrared,Truck,Registered,5,0,42
19,40.95,Infrared,Car,Unregistered,5,0,41
10,59.21,Infrared,Motorbike,Registered,3,0,66
16,41.25,Camera,Car,Registered,3,0,73
7,64.52,Loop,Car,Registered,4,0,60
3,34.85,Camera,Car,Registered,1,0,52
5,11.55,Camera,Car,Registered,3,0,28
7,60.77,Loop,Motorbike,Registered,3,0,48
19,32.35,Camera,Car,Registered,2,0,43
2,21.3,Loop,Motorbike,Registered,2,0,24
15,45.24,Camera,Motorbike,Registered,2,0,79
2,41.41,Loop,Truck,Registered,1,0,24
17,57.35,Infrared,Car,Registered,3,0,67
13,58.39,Camera,Car,Registered,3,0,78
17,46.43,Camera,Car,Registered,5,0,57
1,31.73,Camera,Truck,Registered,4,0,19
21,49.3,Camera,Truck,Registered,2,0,35
2,47.48,Infrared,Car,Registered,5,0,23
15,53.53,Camera,Bus,Registered,2,0,73
8,31.88,Infrared,Car,Registered,4,0,58
3,38.99,Infrared,Motorbike,Registered,3,0,33
0,52.64,Infrared,Car,Registered,2,0,23
3,63.71,Infrared,Motorbike,Registered,1,0,36
0,59.49,Loop,Car,Registered,1,0,47
13,46.23,Loop,Bus,Registered,5,0,85
20,37.69,Camera,Motorbike,Registered,3,0,45
15,51.06,Loop,Motorbike,Registered,1,0,77
19,28.63,Loop,Car,Registered,5,0,57
23,32.74,Camera,Car,Registered,5,0,23
7,67.65,Camera,Car,Registered,1,0,56
6,51.03,Camera,Car,Registered,1,0,66
2,39.79,Loop,Car,Registered,5,0,29
16,57.44,Loop,Truck,Registered,1,0,48
0,64.3,Camera,Motorbike,Registered,2,0,39
15,38.33,Infrared,Car,Registered,5,0,70
11,38.59,Camera,Car,Registered,1,0,70
18,36.71,Infrared,Car,Registered,2,0,54
21,59.46,Infrared,Motorbike,Registered,2,0,46
22,59.6,Camera,Car,Registered,5,0,41
21,65.79,Camera,Truck,Registered,4,0,46
13,60.13,Camera,Car,Registered,3,0,79
5,20.52,Loop,Truck,Registered,3,0,36
5,49.21,Infrared,Bus,Unregistered,4,0,38
12,29.12,Loop,Car,Registered,4,0,67
18,37.31,Loop,Truck,Registered,4,0,49
21,47.56,Camera,Car,Registered,3,0,50
7,57.53,Loop,Bus,Registered,4,0,59
1,31.64,Camera,Car,Registered,1,0,22
20,10.13,Infrared,Bus,Registered,5,0,30
0,47.71,Camera,Bus,Registered,5,0,36
14,84.65,Loop,Bus,Registered,2,1,77
0,41.96,Loop,Motorbike,Registered,1,0,36
4,45.7,Camera,Car,Registered,5,0,40
15,71.73,Camera,Car,Registered,1,0,79
18,53.85,Loop,Car,Registered,3,0,56
3,48.25,Infrared,Car,Registered,3,0,16
2,51.63,Infrared,Motorbike,Registered,2,0,14
16,48.75,Camera,Car,Registered,3,0,73
16,27.9,Infrared,Truck,Registered,4,0,58
11,24.88,Loop,Motorbike,Registered,1,0,67
13,73.3,Camera,Bus,Registered,5,0,82
20,47.76,Loop,Car,Registered,1,0,48
5,46.5,Loop,Bus,Unregistered,3,0,48
2,43.65,Infrared,Truck,Registered,2,0,30
8,56.72,Camera,Car,Registered,2,0,70
4,83.08,Camera,Motorbike,Registered,3,1,51
23,52.86,Infrared,Motorbike,Registered,2,0,29
16,36.18,Loop,Car,Registered,1,0,65
13,43.0,Loop,Car,Registered,1,0,65
20,61.06,Loop,Car,Registered,3,0,47
2,36.26,Loop,Car,Registered,2,0,31
0,57.78,Camera,Car,Registered,1,0,39
19,10.19,Camera,Car,Registered,1,0,45
20,41.55,Infrared,Car,Registered,4,0,30
22,54.42,Infrared,Car,Registered,4,0,39
0,64.05,Camera,Truck,Registered,1,0,46
2,32.72,Camera,Car,Registered,3,0,43
17,22.46,Loop,Truck,Unregistered,5,0,59
9,41.09,Loop,Car,Registered,5,0,60
21,28.12,Infrared,Car,Registered,1,0,25
2,42.76,Camera,Car,Registered,1,0,45
7,44.9,Infrared,Car,Registered,1,0,48
13,25.21,Camera,Car,Registered,3,0,71
23,57.07,Loop,Motorbike,Registered,1,0,35
17,42.64,Infrared,Car,Registered,1,0,53
14,61.21,Infrared,Motorbike,Registered,1,0,74
21,17.33,Camera,Motorbike,Registered,1,0,30
22,29.74,Loop,Car,Registered,3,0,45
1,52.75,Infrared,Car,Registered,1,0,38
9,33.01,Loop,Motorbike,Registered,1,0,56
1,42.53,Infrared,Car,Unregistered,5,0,20
16,45.01,Loop,Car,Registered,1,0,51
7,47.37,Camera,Truck,Registered,1,0,46
0,34.84,Infrared,Car,Registered,2,0,29
8,47.24,Infrared,Motorbike,Registered,2,0,54
10,33.26,Loop,Truck,Registered,1,0,66
21,55.11,Loop,Car,Registered,5,0,31
15,43.28,Infrared,Car,Registered,1,0,60
6,47.33,Camera,Car,Registered,5,0,59
9,83.55,Loop,Car,Registered,4,1,70
22,28.39,Loop,Car,Registered,4,0,24
2,65.83,Loop,Motorbike,Registered,3,0,36
17,5.11,Infrared,Car,Registered,3,0,41
23,13.82,Infrared,Car,Registered,1,0,23
12,26.39,Infrared,Truck,Registered,1,0,61
6,27.34,Infrared,Bus,Registered,4,0,40
3,48.06,Camera,Motorbike,Registered,3,0,29
12,49.35,Camera,Car,Registered,1,0,72
19,41.18,Infrared,Motorbike,Registered,2,0,53
0,42.75,Camera,Car,Registered,3,0,25
7,52.92,Loop,Car,Registered,2,0,46
13,57.5,Loop,Car,Registered,4,0,76
15,25.1,Loop,Bus,Registered,4,0,66
13,39.57,Infrared,Car,Registered,2,0,61
11,43.96,Loop,Car,Registered,1,0,66
18,52.28,Camera,Car,Registered,3,0,65
22,33.41,Infrared,Car,Registered,3,0,35
14,43.66,Camera,Bus,Registered,4,0,66
1,45.45,Loop,Motorbike,Registered,1,0,34
1,34.43,Loop,Motorbike,Registered,3,0,39
22,34.08,Loop,Car,Unregistered,1,0,34
21,46.48,Infrared,Car,Registered,2,0,29
18,43.04,Camera,Car,Registered,5,0,51
21,52.51,Infrared,Car,Registered,4,0,37
21,29.2,Infrared,Car,Registered,3,0,40
16,39.74,Loop,Motorbike,Registered,2,0,64
19,41.56,Infrared,Car,Registered,3,0,47
9,57.21,Infrared,Car,Registered,1,0,52
5,30.89,Loop,Car,Registered,1,0,45
14,48.52,Infrared,Car,Registered,1,0,58
21,48.79,Loop,Car,Registered,3,0,39
10,69.7,Loop,Truck,Registered,5,0,76
4,29.89,Loop,Bus,Registered,1,0,19
0,35.14,Loop,Truck,Registered,5,0,31
7,30.94,Infrared,Car,Registered,3,0,35
20,19.95,Loop,Car,Registered,5,0,40
11,71.47,Loop,Car,Registered,3,0,73
11,26.38,Infrared,Car,Registered,3,0,74
4,32.76,Infrared,Bus,Registered,4,0,26
6,64.74,Camera,Car,Registered,3,0,67
3,18.7,Infrared,Car,Registered,3,0,26
5,56.35,Infrared,Car,Registered,2,0,33
12,23.8,Camera,Car,Registered,1,0,71
19,63.7,Infrared,Motorbike,Registered,3,0,49
14,12.45,Infrared,Car,Registered,4,0,59
2,18.7,Infrared,Car,Registered,4,0,15
22,36.83,Infrared,Car,Registered,2,0,42
7,59.58,Camera,Car,Registered,3,0,64
19,44.54,Infrared,Motorbike,Registered,1,0,46
15,39.96,Infrared,Bus,Registered,5,0,74
12,65.19,Camera,Truck,Registered,3,0,79
17,77.33,Loop,Motorbike,Unregistered,2,1,77
9,55.08,Camera,Car,Registered,3,0,67
18,35.66,Loop,Motorbike,Registered,1,0,57
16,38.73,Camera,Car,Registered,2,0,66
23,25.67,Camera,Car,Registered,4,0,33
18,46.51,Infrared,Bus,Registered,4,0,53
22,20.56,Loop,Car,Registered,1,0,26
4,53.28,Infrared,Truck,Registered,1,0,31
20,75.08,Loop,Car,Registered,4,1,52
22,55.76,Camera,Motorbike,Registered,3,0,44
8,37.96,Camera,Motorbike,Registered,1,0,57
11,52.9,Loop,Bus,Registered,5,0,79
20,69.31,Infrared,Motorbike,Unregistered,2,0,53
0,68.56,Infrared,Motorbike,Registered,3,0,31
0,29.94,Infrared,Car,Registered,1,0,33
14,52.65,Infrared,Car,Registered,1,0,81
1,42.63,Camera,Car,Registered,5,0,19
21,57.1,Camera,Motorbike,Registered,3,0,54
15,50.75,Camera,Car,Registered,4,0,68
7,9.45,Camera,Motorbike,Registered,1,0,51
12,39.78,Camera,Car,Registered,3,0,81
20,47.98,Infrared,Car,Registered,1,0,36
0,23.48,Infrared,Motorbike,Registered,1,0,9
15,53.72,Infrared,Car,Registered,1,0,72
6,22.14,Infrared,Car,Registered,3,0,36
4,33.02,Camera,Car,Registered,5,0,25
21,65.12,Camera,Truck,Registered,3,0,67
22,31.74,Camera,Motorbike,Registered,1,0,41
2,53.61,Loop,Car,Registered,4,0,39
11,18.7,Infrared,Car,Registered,1,0,67
15,76.22,Infrared,Car,Unregistered,5,1,67
18,40.43,Camera,Motorbike,Registered,2,0,59
4,46.43,Infrared,Motorbike,Registered,1,0,23
21,47.69,Infrared,Car,Registered,5,0,33
13,54.11,Camera,Car,Registered,4,0,79
4,22.21,Loop,Car,Registered,5,0,20
14,44.92,Loop,Motorbike,Registered,1,0,66
16,35.12,Loop,Motorbike,Registered,3,0,56
13,19.66,Camera,Car,Registered,1,0,69
19,59.81,Infrared,Car,Registered,1,0,54
4,39.72,Camera,Car,Unregistered,2,0,44
11,48.64,Camera,Truck,Registered,5,0,79
15,47.7,Infrared,Car,Registered,2,0,74
15,39.98,Loop,Motorbike,Registered,3,0,72
20,74.63,Loop,Motorbike,Registered,1,0,67
6,44.29,Camera,Car,Registered,2,0,50
3,21.63,Loop,Car,Registered,5,0,27
0,38.99,Camera,Car,Registered,4,0,38
4,52.5,Camera,Motorbike,Registered,1,0,40
22,52.99,Infrared,Motorbike,Registered,3,0,47
9,28.68,Infrared,Motorbike,Registered,2,0,60
21,58.94,Infrared,Car,Unregistered,2,0,45
4,18.56,Camera,Car,Registered,4,0,34
3,62.16,Infrared,Truck,Registered,1,0,30
1,25.21,Loop,Motorbike,Registered,3,0,31
19,41.61,Loop,Car,Registered,3,0,43
9,60.97,Camera,Truck,Registered,1,0,79
18,46.79,Camera,Motorbike,Registered,1,0,59
0,57.25,Infrared,Motorbike,Registered,1,0,32
23,54.28,Camera,Motorbike,Registered,3,0,33
4,64.29,Camera,Bus,Registered,2,0,50
12,60.93,Loop,Motorbike,Registered,1,0,71
3,38.19,Loop,Car,Registered,1,0,37
15,54.49,Infrared,Car,Registered,3,0,71
23,22.1,Camera,Truck,Registered,2,0,27
15,44.13,Camera,Car,Registered,4,0,63
